name,Gender,Species,Loyalty
Sir Luckless,Male,Human,Amata
George Weasley,Male,Human,Circle of Khanna
Hedwig,Female,Snowy owl,Harry Potter
Mrs Norris,Female,Cat,Argus Filch
Harry Potter,Male,Human,Potter family
Terry Boot,Male,Human,Boot family
Petunia Dursley,Female,Human,Evans family
Fluffy,Male,Three-headed dog,Rubeus Hagrid
Lee Jordan,Male,Human,Jordan family
Adrian,Male,Human,Hogwarts School of Witchcraft and Wizardry
Marcus Flint,Male,Human,Flint family
Neville Longbottom,Male,Human,Longbottom family
Dean Thomas,Male,Human,Thomas family
Dudley,Male,Human,British Ministry of Magic
Gryffindor Lad,Male,Human,Hogwarts School of Witchcraft and Wizardry
Cornelius Fudge,Male,Human,Order of Merlin
Lily L. Potter,Female,Human,Potter family
Scabior,Male,Human,Hogwarts School of Witchcraft and Wizardry
Ravenclaw Lad,Male,Human,Hogwarts School of Witchcraft and Wizardry
Seamus Finnigan,Male,Human,Dumbledore's Army
Nicholas de Mimsy-Porpington,Male,Human,Henry VII
Alice,Female,Human,Hogwarts School of Witchcraft and Wizardry
Rosie,Female,Human,Rosie's Garden Seed Co.
Hannah Abbott,Female,Human,Abbott family
Dedalus Diggle,Male,Human,Order of the Phoenix
Moran,Female,Human,Irish National Quidditch team
Malkin,Female,Human,Madam Malkin's Robes for All Occasions
Gerbold Ollivander,Male,Human,Ollivander family
Ronald Weasley,Male,Human,Weasley family
Nick Alas,Male,Human,Hogwarts School of Witchcraft and Wizardry
Gordon,Male,Human,Dudley Dursley's gang
Hugh Biggs,Male,Human,Hogwarts School of Witchcraft and Wizardry
Hermione Granger,Female,Human,Granger family
Miles Bletchley,Male,Human,Hogwarts School of Witchcraft and Wizardry
Susan Bones,Female,Human,Bones family
Ronan,Male,Centaur,Forbidden Forest Centaur colony
Ginevra Weasley,Female,Human,Weasley family
Parvati Patil,Female,Human,Patil family
Rubeus Hagrid,Male,Human,Hogwarts School of Witchcraft and Wizardry
Pansy Parkinson,Female,Human,Parkinson family
Vernon Dursley,Male,Human,Dursley family
Oliver Wood,Male,Human,Hogwarts School of Witchcraft and Wizardry
Blythe Parkin,Female,Human,English National Quidditch team
Lucius Malfoy,Male,Human,Malfoy family
Healer (Diagon Alley),Female,Human,Healer Shop
Doris Crockford,Female,Human,Leaky Cauldron
Crabbe,Male,Human,Crabbe family
Griphook,Male,Goblin,Gringotts Wizarding Bank
Peter James,Male,Human,Hogwarts School of Witchcraft and Wizardry
Quirinus Quirrell,Male,Human,Hogwarts School of Witchcraft and Wizardry
Severus Snape,Male,Human,Snape family
Violet,Female,Human,Hogwarts School of Witchcraft and Wizardry
Filius Flitwick,Male,Human,Hogwarts School of Witchcraft and Wizardry
Minerva McGonagall,Female,Human,McGonagall family
Albus Dumbledore,Male,Human,Order of Merlin
Trevor,Male,Toad,Algie Longbottom
Rolanda Hooch,Female,Human,Hogwarts School of Witchcraft and Wizardry
George III,Male,Human,Great Britain
Draco Malfoy,Male,Human,Malfoy family
Alicia Spinnet,Female,Human,Hogwarts School of Witchcraft and Wizardry
Bane,Male,Centaur,Forbidden Forest Centaur colony
Irma Pince,Female,Human,Hogwarts School of Witchcraft and Wizardry
Angelina Johnson,Female,Human,Johnson family
Fred Weasley,Male,Human,Circle of Khanna
Charles Weasley,Male,Human,Weasley family
Adrian Pucey,Male,Human,Hogwarts School of Witchcraft and Wizardry
Norberta,Female,Norwegian Ridgeback,Rubeus Hagrid
William Weasley,Male,Human,Weasley family
Goyle,Male,Human,Goyle family
Firenze,Male,Centaur,Forbidden Forest Centaur colony
Demelza Robins,Female,Human,Hogwarts School of Witchcraft and Wizardry
Dudley Dursley,Male,Human,Dursley family
Fang,Male,Boarhound,Rubeus Hagrid
Percy Weasley,Male,Human,Weasley family
