src,trg,weight
Sinistra Lowe,Justin Finch-Fletchley,1
Sinistra Lowe,Filius Flitwick,1
George Weasley,Harry Potter,1
George Weasley,Oliver Wood,1
George Weasley,Fred Weasley,5
Justin Finch-Fletchley,Harry Potter,16
Justin Finch-Fletchley,Ronald Weasley,7
Justin Finch-Fletchley,Nick Alas,2
Justin Finch-Fletchley,Helga Hufflepuff,4
Justin Finch-Fletchley,Gilderoy Lockhart,2
Justin Finch-Fletchley,Severus Snape,3
Justin Finch-Fletchley,Filius Flitwick,1
Justin Finch-Fletchley,Neville Longbottom,3
Hedwig,Harry Potter,2
Mrs Norris,Harry Potter,4
Mrs Norris,Colin Creevey,1
Mrs Norris,Ronald Weasley,1
Mrs Norris,Hermione Granger,1
Mrs Norris,Ginevra Weasley,1
Mrs Norris,Blythe Parkin,1
Mrs Norris,Gilderoy Lockhart,2
Mrs Norris,Albus Dumbledore,3
Mrs Norris,Argus Filch,1
Harry Potter,Dean Thomas,1
Harry Potter,Dudley,3
Harry Potter,Salazar Slytherin,2
Harry Potter,Colin Creevey,10
Harry Potter,Cornelius Fudge,1
Harry Potter,Nicholas de Mimsy-Porpington,1
Harry Potter,Louis Weasley,10
Harry Potter,Hannah Abbott,3
Harry Potter,Dobby,62
Harry Potter,Ronald Weasley,178
Harry Potter,Hermione Granger,80
Harry Potter,Nick Alas,5
Harry Potter,Millicent Bulstrode,1
Harry Potter,Helga Hufflepuff,3
Harry Potter,Nott,1
Harry Potter,Ernest Macmillan,6
Harry Potter,Dan,1
Harry Potter,Ginevra Weasley,23
Harry Potter,Mason,1
Harry Potter,Veronica Smethley,3
Harry Potter,Rubeus Hagrid,19
Harry Potter,Vernon Dursley,22
Harry Potter,Oliver Wood,2
Harry Potter,Blythe Parkin,1
Harry Potter,Lucius Malfoy,41
Harry Potter,Gilderoy Lockhart,40
Harry Potter,Severus Snape,20
Harry Potter,Violet,7
Harry Potter,Albus Dumbledore,23
Harry Potter,Arthur,2
Harry Potter,Minerva McGonagall,17
Harry Potter,Rolanda Hooch,2
Harry Potter,George III,16
Harry Potter,Draco Malfoy,11
Harry Potter,Tom,2
Harry Potter,Alicia Spinnet,2
Harry Potter,Fawkes,3
Harry Potter,Irma Pince,1
Harry Potter,Borgin,1
Harry Potter,Tom Riddle,2
Harry Potter,Fred Weasley,18
Harry Potter,Charles Weasley,1
Harry Potter,Penelope Clearwater,1
Harry Potter,Adrian Pucey,2
Harry Potter,Neville Longbottom,5
Harry Potter,Mullet,1
Harry Potter,Goyle,2
Harry Potter,Fang,9
Harry Potter,Percy Weasley,11
Harry Potter,Aragog,2
Lee Jordan,Louis Weasley,1
Lee Jordan,Ronald Weasley,2
Lee Jordan,Hermione Granger,1
Lee Jordan,Ginevra Weasley,1
Lee Jordan,George III,1
Lee Jordan,Fred Weasley,1
Dean Thomas,Seamus Finnigan,5
Dean Thomas,Ronald Weasley,1
Dean Thomas,Hermione Granger,1
Dean Thomas,Gilderoy Lockhart,1
Dean Thomas,Albus Dumbledore,1
Dean Thomas,Neville Longbottom,2
Dudley,Vernon Dursley,1
Salazar Slytherin,Rowena Ravenclaw,1
