name,Gender,Species,Loyalty
George Weasley,Male,Human,Circle of Khanna
Peeves,Male,Poltergeist,Hogwarts School of Witchcraft and Wizardry
Hedwig,Female,Snowy owl,Harry Potter
Mrs Norris,Female,Cat,Argus Filch
Bathilda Bagshot,Female,Human,Bagshot family
Harry Potter,Male,Human,Potter family
Hieronymus,Male,Fire crab,Silvanus Kettleburn
Cadogan,Male,Human,Arthur
Rosmerta,Female,Human,Three Broomsticks Inn
Marius Black,Male,Human,House of Black
Henerick,Male,Human,Hogwarts School of Witchcraft and Wizardry
Florean Fortescue,Male,Human,Fortescue family
Petunia Dursley,Female,Human,Evans family
Sybill Trelawney,Female,Human,Hogwarts School of Witchcraft and Wizardry
Lee Jordan,Male,Human,Jordan family
Marcus Flint,Male,Human,Flint family
Binky,Male,Rabbit,Lavender Brown
Dean Thomas,Male,Human,Thomas family
Cedric,Male,Human,Hogwarts School of Witchcraft and Wizardry
Adrian Pucey,Male,Human,Hogwarts School of Witchcraft and Wizardry
Colin Creevey,Male,Human,Creevey family
Merlin,Male,Human,Order of Merlin
Cornelius Fudge,Male,Human,Order of Merlin
Dudley,Male,Human,British Ministry of Magic
Phineas Nigellus Black,Male,Human,Hogwarts School of Witchcraft and Wizardry
Lily L. Potter,Female,Human,Potter family
Scabior,Male,Human,Hogwarts School of Witchcraft and Wizardry
Remus Lupin,Male,Werewolf,Lupin family
Rowena Ravenclaw,Female,Human,Hogwarts School of Witchcraft and Wizardry
Seamus Finnigan,Male,Human,Dumbledore's Army
Fubster,Male,Human,wikipedia:British Armed Forces
Hannah Abbott,Female,Human,Abbott family
Cho Chang,Female,Human,Chang family
Limunus,Male,Human,Daily Prophet
Malkin,Female,Human,Madam Malkin's Robes for All Occasions
Ronald Weasley,Male,Human,Weasley family
Nott,Male,Human,Nott family
Hermione Granger,Female,Human,Granger family
Ernest Macmillan,Male,Human,Macmillan family
Ernest Prang,Male,Human,Knight Bus
Dan,Male,Human,Hogwarts School of Witchcraft and Wizardry
Ginevra Weasley,Female,Human,Weasley family
Parvati Patil,Female,Human,Patil family
Rubeus Hagrid,Male,Human,Hogwarts School of Witchcraft and Wizardry
Pansy Parkinson,Female,Human,Parkinson family
Vernon Dursley,Male,Human,Dursley family
Oliver Wood,Male,Human,Hogwarts School of Witchcraft and Wizardry
Moran,Female,Human,Irish National Quidditch team
Blythe Parkin,Female,Human,English National Quidditch team
Lucius Malfoy,Male,Human,Malfoy family
Myron Wagtail,Male,Human,Weird Sisters
Crabbe,Male,Human,Crabbe family
Peter James,Male,Human,Hogwarts School of Witchcraft and Wizardry
Maud Montague,Female,Human,Montague family
Severus Snape,Male,Human,Snape family
Violet,Female,Human,Hogwarts School of Witchcraft and Wizardry
Filius Flitwick,Male,Human,Hogwarts School of Witchcraft and Wizardry
Albus Dumbledore,Male,Human,Order of Merlin
Helga Hufflepuff,Female,Human,Hogwarts School of Witchcraft and Wizardry
Arthur,Male,Human,Court of King Arthur
Lavender Brown,Female,Human,Brown family
Minerva McGonagall,Female,Human,McGonagall family
Trevor,Male,Toad,Algie Longbottom
Rolanda Hooch,Female,Human,Hogwarts School of Witchcraft and Wizardry
Ripper,Male,Dog,Marjorie Dursley
George III,Male,Human,Great Britain
Draco Malfoy,Male,Human,Malfoy family
Alicia Spinnet,Female,Human,Hogwarts School of Witchcraft and Wizardry
Angelina Johnson,Female,Human,Johnson family
Buckbeak,Male,Hippogriff,Order of the Phoenix
Stanley Shunpike,Male,Human,Knight Bus
Peter,Male,Human,Hogwarts School of Witchcraft and Wizardry
Katie Bell,Female,Human,Bell family
Fred Weasley,Male,Human,Circle of Khanna
Charles Weasley,Male,Human,Weasley family
Penelope Clearwater,Female,Human,Hogwarts School of Witchcraft and Wizardry
Silvanus Kettleburn,Male,Human,Hogwarts School of Witchcraft and Wizardry
Norberta,Female,Norwegian Ridgeback,Rubeus Hagrid
Neville Longbottom,Male,Human,Longbottom family
Mullet,Female,Human,Irish National Quidditch team
Gregory Goyle,Male,Human,Goyle family
Crookshanks,Male,Kneazle,Magical Menagerie
William Weasley,Male,Human,Weasley family
Tom Riddle,Male,Human,Death Eaters
Peter Jones,Male,Human,Hogwarts School of Witchcraft and Wizardry
Goyle,Male,Human,Goyle family
Walden Macnair,Male,Human,Death Eaters
Fang,Male,Boarhound,Rubeus Hagrid
Marsh,Female,Human,Knight Bus
Percy Weasley,Male,Human,Weasley family
Errol,Male,Great grey owl,Weasley family
Godric Gryffindor,Male,Human,Hogwarts School of Witchcraft and Wizardry
