source,target
AFG,BDI
AFG,BIH
AFG,COG
AFG,DNK
AFG,GAB
AFG,GTM
AFG,IRL
AFG,KEN
AFG,KWT
AFG,LBN
AFG,LSO
AFG,LUX
AFG,LVA
AFG,MAR
AFG,NER
AFG,PER
AFG,POL
AFG,SEN
AFG,SLE
AFG,TTO
AFG,TZA
AGO,ARM
AGO,AZE
AGO,BGD
AGO,CAF
AGO,COM
AGO,ECU
AGO,EGY
AGO,GEO
AGO,HND
AGO,HRV
AGO,IRL
AGO,ISL
AGO,JOR
AGO,KGZ
AGO,KHM
AGO,KOR
AGO,KWT
AGO,LBN
AGO,LKA
AGO,LSO
AGO,LTU
AGO,MWI
AGO,PRY
AGO,SAU
AGO,SEN
AGO,TGO
AGO,TUR
AGO,TZA
AGO,UKR
ALB,AGO
ALB,BDI
ALB,BGD
ALB,BWA
ALB,DOM
ALB,FIN
ALB,IDN
ALB,IND
ALB,IRQ
ALB,JPN
ALB,LBN
ALB,LKA
ALB,LTU
ALB,LUX
ALB,MLI
ALB,PRT
ALB,PRY
ALB,SEN
ALB,TGO
ALB,TKM
ALB,TUN
ALB,UZB
ALB,ZMB
ALB,ZWE
ARE,BFA
ARE,BLR
ARE,BOL
ARE,ETH
ARE,IND
ARE,IRL
ARE,KGZ
ARE,KWT
ARE,LVA
ARE,MDA
ARE,NZL
ARE,SEN
ARE,SLE
ARE,SVN
ARE,TTO
ARE,TZA
ARE,ZMB
ARG,AUT
ARG,BEN
ARG,BFA
ARG,BOL
ARG,BWA
ARG,ETH
ARG,GHA
ARG,GRC
ARG,KGZ
ARG,LSO
ARG,MDA
ARG,MDG
ARG,MLT
ARG,MRT
ARG,PAK
ARG,RWA
ARG,SEN
ARG,SWE
ARG,SWZ
ARG,YEM
ARG,ZMB
ARG,ZWE
ARM,AUT
ARM,BEN
ARM,BFA
ARM,BHR
ARM,BIH
ARM,COG
ARM,COM
ARM,CYP
ARM,DOM
ARM,GAB
ARM,HTI
ARM,HUN
ARM,LBR
ARM,LSO
ARM,LUX
ARM,LVA
ARM,MDA
ARM,MUS
ARM,NOR
ARM,RWA
ARM,SEN
ARM,SWZ
ARM,URY
ARM,ZWE
AUS,ALB
AUS,BFA
AUS,CAF
AUS,DOM
AUS,ETH
AUS,GIN
AUS,HND
AUS,RWA
AUT,CAF
AUT,GAB
AUT,GHA
AUT,GIN
AUT,JOR
AUT,MDG
AUT,MMR
AUT,MRT
AUT,NPL
AUT,NZL
AUT,RWA
AUT,SLE
AUT,TGO
AZE,AGO
AZE,ALB
AZE,AUS
AZE,BEN
AZE,BIH
AZE,COM
AZE,CRI
AZE,CYP
AZE,EGY
AZE,HRV
AZE,IDN
AZE,IRL
AZE,ISL
AZE,JAM
AZE,JPN
AZE,KGZ
AZE,LBR
AZE,MKD
AZE,MNG
AZE,MOZ
AZE,MWI
AZE,NER
AZE,NZL
AZE,PRY
AZE,SUR
AZE,SWZ
AZE,TZA
AZE,ZWE
BDI,ARG
BDI,AUS
BDI,AZE
BDI,CAN
BDI,COM
BDI,CRI
BDI,EGY
BDI,GRC
BDI,HRV
BDI,HTI
BDI,IRQ
BDI,ISR
BDI,ITA
BDI,JPN
BDI,KAZ
BDI,KWT
BDI,LSO
BDI,LTU
BDI,LUX
BDI,MEX
BDI,MKD
BDI,MLT
BDI,MMR
BDI,MYS
BDI,NER
BDI,PHL
BDI,POL
BDI,QAT
BDI,SVK
BDI,THA
BDI,TKM
BDI,TUN
BDI,VNM
BDI,YEM
BEL,DOM
BEL,HRV
BEL,SLE
BEN,AFG
BEN,ALB
BEN,ARG
BEN,ARM
BEN,AUS
BEN,AUT
BEN,BIH
BEN,CHL
BEN,DOM
BEN,FRA
BEN,IRN
BEN,JAM
BEN,JPN
BEN,KGZ
BEN,LKA
BEN,MEX
BEN,MLT
BEN,NIC
BEN,OMN
BEN,PRY
BEN,SLE
BEN,SUR
BEN,SWZ
BEN,TCD
BEN,UGA
BEN,UZB
BFA,ARE
BFA,BGD
BFA,BOL
BFA,CAF
BFA,CHL
BFA,ESP
BFA,FIN
BFA,IDN
BFA,ISR
BFA,JPN
BFA,KEN
BFA,KHM
BFA,LBN
BFA,LKA
BFA,MDA
BFA,MMR
BFA,MNG
BFA,NOR
BFA,OMN
BFA,PAK
BFA,PAN
BFA,RUS
BFA,SWZ
BFA,THA
BFA,TUR
BFA,TZA
BFA,URY
BGD,ARM
BGD,COG
BGD,ECU
BGD,FIN
BGD,GBR
BGD,GTM
BGD,IRL
BGD,LSO
BGD,LUX
BGD,MDA
BGD,MDG
BGD,MLI
BGD,MLT
BGD,MNG
BGD,MRT
BGD,MUS
BGD,PER
BGD,RWA
BGD,TGO
BGR,BEN
BGR,BWA
BGR,ISR
BGR,JAM
BGR,LSO
BGR,PHL
BGR,QAT
BGR,TKM
BGR,ZMB
BHR,AZE
BHR,BEN
BHR,BGR
BHR,BIH
BHR,BOL
BHR,CMR
BHR,CYP
BHR,GIN
BHR,GRC
BHR,GTM
BHR,ISL
BHR,ISR
BHR,KEN
BHR,KGZ
BHR,MLT
BHR,MMR
BHR,NOR
BHR,SLE
BHR,TTO
BHR,UGA
BHR,UKR
BIH,ALB
BIH,AZE
BIH,BHR
BIH,BRA
BIH,BWA
BIH,CAF
BIH,CMR
BIH,CRI
BIH,GIN
BIH,IND
BIH,ISR
BIH,LSO
BIH,MLI
BIH,MRT
BIH,NER
BIH,SDN
BIH,SLE
BIH,SWZ
BIH,TGO
BIH,THA
BIH,TJK
BIH,TKM
BIH,TUN
BIH,UKR
BIH,YEM
BIH,ZWE
BLR,AFG
BLR,ARE
BLR,BEN
BLR,CMR
BLR,COG
BLR,CYP
BLR,DOM
BLR,EGY
BLR,FIN
BLR,HRV
BLR,HTI
BLR,IND
BLR,JPN
BLR,LKA
BLR,MAR
BLR,MEX
BLR,MLT
BLR,MNG
BLR,MRT
BLR,NER
BLR,OMN
BLR,PER
BLR,PRY
BLR,SAU
BLR,SLE
BLR,TZA
BLR,UKR
BLR,UZB
BOL,ARE
BOL,BEN
BOL,BHR
BOL,BWA
BOL,CAF
BOL,COG
BOL,EGY
BOL,FIN
BOL,GEO
BOL,GHA
BOL,HND
BOL,IDN
BOL,LSO
BOL,LTU
BOL,MYS
BOL,NPL
BOL,PAN
BOL,PHL
BOL,POL
BOL,RUS
BOL,SAU
BOL,SDN
BOL,SVK
BOL,THA
BOL,UGA
BOL,VNM
BOL,YEM
BRA,AFG
BRA,BDI
BRA,BFA
BRA,CZE
BRA,HRV
BRA,KOR
BRA,MLI
BRA,MLT
BRA,RWA
BRA,SGP
BRA,TCD
BRA,TKM
BWA,ARE
BWA,AZE
BWA,BFA
BWA,BGR
BWA,BOL
BWA,CMR
BWA,FIN
BWA,FRA
BWA,GRC
BWA,HND
BWA,HUN
BWA,IRL
BWA,ISL
BWA,ISR
BWA,ITA
BWA,JAM
BWA,KAZ
BWA,LKA
BWA,LVA
BWA,MAR
BWA,MDA
BWA,MEX
BWA,MMR
BWA,MNG
BWA,NZL
BWA,OMN
BWA,POL
BWA,SEN
BWA,SVN
BWA,UKR
CAF,AFG
CAF,ARE
CAF,ARG
CAF,AZE
CAF,BDI
CAF,BEL
CAF,BWA
CAF,DNK
CAF,ECU
CAF,ESP
CAF,ETH
CAF,FIN
CAF,GRC
CAF,GTM
CAF,IDN
CAF,IRN
CAF,ISR
CAF,KEN
CAF,KHM
CAF,KWT
CAF,LBN
CAF,LVA
CAF,MAR
CAF,MDA
CAF,NZL
CAF,OMN
CAF,PAN
CAF,PRY
CAF,SEN
CAF,SUR
CAF,SVN
CAF,TKM
CAF,UZB
CAF,YEM
CAF,ZAF
CAF,ZMB
CAN,AUT
CAN,BIH
CAN,CHE
CAN,CHL
CAN,GAB
CAN,HTI
CAN,KGZ
CAN,LBR
CAN,LUX
CAN,MDA
CAN,MDG
CAN,QAT
CAN,SGP
CAN,SLE
CAN,SWZ
CAN,TJK
CAN,UZB
CHE,BHR
CHE,BOL
CHE,BWA
CHE,HTI
CHE,JOR
CHE,LBR
CHE,LKA
CHE,LTU
CHE,MLT
CHE,MOZ
CHE,MRT
CHE,MWI
CHE,NZL
CHE,PRY
CHE,SGP
CHE,SUR
CHE,TGO
CHE,YEM
CHE,ZMB
CHE,ZWE
CHL,ALB
CHL,ARM
CHL,AZE
CHL,BFA
CHL,BOL
CHL,CZE
CHL,ETH
CHL,KAZ
CHL,LUX
CHL,MAR
CHL,MNG
CHL,MWI
CHL,NER
CHL,NPL
CHL,SGP
CHL,SWE
CHL,SWZ
CHL,UGA
CHN,LBN
CMR,AGO
CMR,AUT
CMR,AZE
CMR,BEN
CMR,BHR
CMR,BLR
CMR,CAN
CMR,DNK
CMR,ECU
CMR,GIN
CMR,GTM
CMR,HTI
CMR,IDN
CMR,JPN
CMR,KAZ
CMR,LKA
CMR,MUS
CMR,PER
CMR,PRY
CMR,SLE
CMR,URY
CMR,UZB
COG,ARG
COG,BDI
COG,BFA
COG,BGD
COG,BIH
COG,BWA
COG,COL
COG,HND
COG,IRL
COG,ISL
COG,KGZ
COG,MLI
COG,MMR
COG,MYS
COG,NIC
COG,NOR
COG,NPL
COG,NZL
COG,OMN
COG,PRY
COG,SEN
COG,SUR
COG,SVK
COG,TTO
COL,AFG
COL,ALB
COL,AUS
COL,BEN
COL,BFA
COL,COM
COL,IDN
COL,MNG
COL,MWI
COL,NER
COL,SDN
COL,SVK
COL,TGO
COL,THA
COL,TKM
COL,TUN
COL,TZA
COL,UGA
COL,ZMB
COM,AFG
COM,AUS
COM,BFA
COM,BGD
COM,BLR
COM,BOL
COM,BRA
COM,BWA
COM,COL
COM,CYP
COM,CZE
COM,DEU
COM,DNK
COM,DOM
COM,ETH
COM,GEO
COM,GIN
COM,HRV
COM,HTI
COM,HUN
COM,IDN
COM,ISL
COM,JOR
COM,KAZ
COM,KEN
COM,KGZ
COM,LKA
COM,LVA
COM,MUS
COM,PAK
COM,PHL
COM,POL
COM,PRT
COM,QAT
COM,SDN
COM,SUR
COM,SVK
COM,TJK
COM,TZA
COM,YEM
CRI,ARM
CRI,AUS
CRI,BHR
CRI,BLR
CRI,EST
CRI,ETH
CRI,FIN
CRI,HUN
CRI,KEN
CRI,LBY
CRI,LKA
CRI,LUX
CRI,MAR
CRI,MNG
CRI,NIC
CRI,RWA
CRI,SAU
CRI,TCD
CRI,THA
CYP,BFA
CYP,COM
CYP,CRI
CYP,EGY
CYP,GIN
CYP,HRV
CYP,HTI
CYP,JOR
CYP,KGZ
CYP,KOR
CYP,LTU
CYP,MAR
CYP,MDG
CYP,MLI
CYP,MRT
CYP,MUS
CYP,NGA
CYP,PAK
CYP,PHL
