source,target
AFG,ALB
AFG,ARM
AFG,BEN
AFG,BIH
AFG,CHE
AFG,CRI
AFG,GAB
AFG,GIN
AFG,GRC
AFG,IRQ
AFG,JPN
AFG,MDA
AFG,MKD
AFG,MLT
AFG,MUS
AFG,MWI
AFG,NGA
AFG,NOR
AFG,PAN
AFG,QAT
AFG,SGP
AFG,SUR
AFG,UZB
AFG,VNM
AGO,ARE
AGO,AUS
AGO,BEN
AGO,BFA
AGO,CAF
AGO,DOM
AGO,GEO
AGO,HND
AGO,HTI
AGO,IRN
AGO,ISL
AGO,JOR
AGO,KAZ
AGO,KEN
AGO,LBN
AGO,LBR
AGO,MDG
AGO,MUS
AGO,MWI
AGO,NIC
AGO,POL
AGO,TJK
AGO,TKM
AGO,URY
ALB,AFG
ALB,ARM
ALB,BFA
ALB,BGD
ALB,BHR
ALB,BIH
ALB,CAN
ALB,ECU
ALB,GAB
ALB,JPN
ALB,KGZ
ALB,LKA
ALB,MAR
ALB,NGA
ALB,NPL
ALB,PER
ALB,SGP
ALB,SWZ
ALB,TCD
ALB,TGO
ALB,ZMB
ARE,ARM
ARE,COG
ARE,EGY
ARE,EST
ARE,GEO
ARE,HRV
ARE,ISL
ARE,LSO
ARE,MLT
ARE,MOZ
ARE,MUS
ARE,NIC
ARE,POL
ARE,PRY
ARE,RWA
ARE,SDN
ARE,SEN
ARE,SLE
ARE,SUR
ARE,SVN
ARE,TTO
ARE,ZWE
ARG,ARM
ARG,CHE
ARG,GIN
ARG,IDN
ARG,JPN
ARG,LTU
ARG,MKD
ARG,MRT
ARG,PHL
ARG,QAT
ARG,SWZ
ARG,UZB
ARM,AGO
ARM,ARE
ARM,AZE
ARM,BEN
ARM,CHL
ARM,CYP
ARM,DEU
ARM,EGY
ARM,GHA
ARM,GTM
ARM,IRN
ARM,LVA
ARM,MAR
ARM,MDA
ARM,MDG
ARM,MUS
ARM,NIC
ARM,NOR
ARM,NZL
ARM,PER
ARM,PRY
ARM,SLE
ARM,TJK
ARM,TUN
ARM,YEM
AUS,BDI
AUS,BFA
AUS,BHR
AUS,HND
AUS,HTI
AUS,LBY
AUS,LUX
AUS,MOZ
AUS,MWI
AUS,NER
AUS,NOR
AUS,PAN
AUS,RWA
AUS,SEN
AUS,TKM
AUS,TTO
AUS,TZA
AUS,ZMB
AUT,ARG
AUT,COM
AUT,IRN
AUT,MLI
AUT,MOZ
AUT,NIC
AUT,SEN
AUT,SUR
AUT,SWZ
AUT,TZA
AZE,AGO
AZE,AUS
AZE,BIH
AZE,BOL
AZE,CMR
AZE,COL
AZE,COM
AZE,DOM
AZE,DZA
AZE,EST
AZE,GTM
AZE,JAM
AZE,KAZ
AZE,KGZ
AZE,KHM
AZE,LTU
AZE,LUX
AZE,MDG
AZE,MLI
AZE,MOZ
AZE,MUS
AZE,NPL
AZE,NZL
AZE,SLE
AZE,SUR
AZE,SWE
AZE,UGA
AZE,URY
BDI,AGO
BDI,ARE
BDI,ARM
BDI,AUT
BDI,BEN
BDI,BOL
BDI,CHL
BDI,COG
BDI,DOM
BDI,DZA
BDI,ESP
BDI,EST
BDI,GAB
BDI,GBR
BDI,GIN
BDI,HRV
BDI,IRN
BDI,IRQ
BDI,ITA
BDI,KOR
BDI,LVA
BDI,MDA
BDI,MEX
BDI,MLI
BDI,MRT
BDI,NPL
BDI,NZL
BDI,PER
BDI,SWE
BDI,TUR
BDI,UKR
BDI,YEM
BEL,BRA
BEL,MUS
BEN,AGO
BEN,ARE
BEN,AUS
BEN,AUT
BEN,BWA
BEN,CAN
BEN,CHE
BEN,COM
BEN,CRI
BEN,DNK
BEN,DZA
BEN,ETH
BEN,GRC
BEN,HRV
BEN,IND
BEN,IRN
BEN,ISR
BEN,KEN
BEN,KGZ
BEN,KHM
BEN,LUX
BEN,MUS
BEN,OMN
BEN,PAK
BEN,PER
BEN,QAT
BEN,RWA
BEN,THA
BEN,TUR
BEN,UZB
BEN,VNM
BEN,ZMB
BEN,ZWE
BFA,AGO
BFA,ARE
BFA,AUS
BFA,AZE
BFA,BIH
BFA,BRA
BFA,CHE
BFA,COL
BFA,ECU
BFA,FIN
BFA,GAB
BFA,GRC
BFA,GTM
BFA,HUN
BFA,ISR
BFA,JPN
BFA,KAZ
BFA,KHM
BFA,KWT
BFA,LSO
BFA,LUX
BFA,LVA
BFA,MDG
BFA,MMR
BFA,NOR
BFA,OMN
BFA,PER
BFA,PHL
BFA,PRT
BFA,SDN
BFA,THA
BFA,TTO
BFA,URY
BFA,UZB
BFA,ZWE
BGD,BDI
BGD,BLR
BGD,CAF
BGD,CZE
BGD,FIN
BGD,GAB
BGD,ISL
BGD,LSO
BGD,LUX
BGD,NPL
BGD,PAN
BGD,TGO
BGR,ARE
BGR,ARM
BGR,BHR
BGR,CAF
BGR,CAN
BGR,COL
BGR,IRL
BGR,KEN
BGR,KHM
BGR,LBN
BGR,LSO
BGR,MWI
BGR,NER
BGR,PRY
BGR,SLE
BGR,SWE
BGR,THA
BGR,TZA
BGR,USA
BHR,AGO
BHR,BFA
BHR,BGR
BHR,BRA
BHR,BWA
BHR,CHE
BHR,CHL
BHR,COG
BHR,LTU
BHR,MEX
BHR,MLT
BHR,NLD
BHR,NZL
BHR,PRY
BHR,TGO
BHR,UZB
BIH,AFG
BIH,AGO
BIH,BWA
BIH,CAF
BIH,COL
BIH,COM
BIH,ECU
BIH,FIN
BIH,GAB
BIH,GEO
BIH,IDN
BIH,ISR
BIH,JPN
BIH,KHM
BIH,LTU
BIH,LUX
BIH,MLI
BIH,MRT
BIH,OMN
BIH,PER
BIH,PHL
BIH,RWA
BIH,SWZ
BIH,ZMB
BLR,AFG
BLR,AUT
BLR,AZE
BLR,BDI
BLR,BEN
BLR,BWA
BLR,CAF
BLR,COL
BLR,DZA
BLR,GAB
BLR,GIN
BLR,GTM
BLR,HND
BLR,JAM
BLR,KHM
BLR,MWI
BLR,MYS
BLR,NPL
BLR,PAN
BLR,PRY
BLR,SGP
BLR,SLE
BLR,SWZ
BLR,YEM
BOL,ALB
BOL,ARE
BOL,AUS
BOL,BDI
BOL,EST
BOL,FIN
BOL,GEO
BOL,GIN
BOL,GRC
BOL,HUN
BOL,ISL
BOL,JPN
BOL,LBN
BOL,LTU
BOL,LUX
BOL,MDG
BOL,MMR
BOL,MYS
BOL,NER
BOL,NGA
BOL,NIC
BOL,POL
BOL,SLE
BOL,TGO
BOL,TKM
BOL,TZA
BRA,BEN
BRA,GHA
BRA,JAM
BRA,LUX
BRA,MDG
BRA,MOZ
BRA,MUS
BRA,NER
BRA,OMN
BRA,RWA
BRA,TCD
BWA,AZE
BWA,BGR
BWA,BIH
BWA,COM
BWA,CRI
BWA,CZE
BWA,ECU
BWA,ESP
BWA,HTI
BWA,IDN
BWA,KHM
BWA,KOR
BWA,LKA
BWA,LSO
BWA,LTU
BWA,NER
BWA,NZL
BWA,PAK
BWA,PER
BWA,SVN
BWA,THA
BWA,TUR
BWA,URY
BWA,YEM
CAF,ARE
CAF,ARG
CAF,AUS
CAF,AZE
CAF,BWA
CAF,ECU
CAF,EST
CAF,GBR
CAF,GRC
CAF,GTM
CAF,HND
CAF,HTI
CAF,IRL
CAF,IRQ
CAF,JOR
CAF,KAZ
CAF,KHM
CAF,KOR
CAF,LUX
CAF,MEX
CAF,MKD
CAF,MLI
CAF,MRT
CAF,NIC
CAF,NLD
CAF,PRT
CAF,PRY
CAF,SGP
CAF,TCD
CAF,TJK
CAF,VNM
CAN,ARE
CAN,BHR
CAN,CHE
CAN,GEO
CAN,GHA
CAN,KGZ
CAN,TJK
CHE,COM
CHE,GIN
CHE,ITA
CHE,JPN
CHE,KEN
CHE,KWT
CHE,LBY
CHE,LKA
CHE,MDG
CHE,MRT
CHE,NIC
CHE,NPL
CHE,OMN
CHE,PAN
CHE,QAT
CHE,TGO
CHE,TJK
CHE,ZWE
CHL,ARM
CHL,BDI
CHL,BEN
CHL,BIH
CHL,BOL
CHL,BWA
CHL,COM
CHL,CYP
CHL,GEO
CHL,NPL
CHL,SLE
CHL,SVK
CHL,ZWE
CMR,ALB
CMR,BDI
CMR,BEN
CMR,BOL
CMR,ECU
CMR,HTI
CMR,HUN
CMR,JAM
CMR,JPN
CMR,KAZ
CMR,LTU
CMR,LVA
CMR,MDG
CMR,MKD
CMR,MLT
CMR,MWI
CMR,PRY
CMR,SAU
CMR,YEM
COG,AFG
COG,ALB
COG,BGR
COG,BHR
COG,BLR
COG,CYP
COG,DOM
COG,EST
COG,IRL
COG,IRQ
COG,ISL
COG,KAZ
COG,KGZ
COG,LKA
COG,LSO
COG,MEX
COG,NER
COG,NPL
COG,PAK
COG,PRT
COG,SGP
COG,SVK
COG,UGA
COG,UZB
COG,ZWE
COL,AFG
COL,AGO
COL,ALB
COL,ARM
COL,AZE
COL,BFA
COL,BGD
COL,BLR
COL,BWA
COL,CAF
COL,COG
COL,GAB
COL,HRV
COL,IRQ
COL,KAZ
COL,KHM
COL,MDG
COL,MNG
COL,MUS
COL,NGA
COL,RWA
COL,SLE
COL,SVK
COL,TCD
COL,TKM
COL,YEM
COL,ZWE
COM,AFG
COM,ARG
COM,BDI
COM,BFA
COM,BGD
COM,BIH
COM,CHE
COM,CHL
COM,CZE
COM,GEO
COM,HTI
COM,IND
COM,IRL
COM,ISL
COM,ISR
COM,KOR
COM,KWT
COM,LKA
COM,LUX
COM,MAR
COM,MKD
COM,MMR
COM,MOZ
COM,NGA
COM,NZL
COM,PHL
COM,PRT
COM,RUS
COM,SVN
COM,TGO
COM,THA
COM,UZB
COM,ZMB
COM,ZWE
CRI,ARM
CRI,BEN
CRI,BHR
CRI,CHE
CRI,EST
CRI,GAB
CRI,IND
CRI,JAM
CRI,KAZ
CRI,KEN
CRI,LKA
CRI,LSO
CRI,MKD
CRI,MUS
CRI,NOR
CRI,NPL
CRI,PRT
CRI,SLE
CRI,SWE
CRI,TCD
CRI,TGO
CRI,UGA
CRI,ZMB
CYP,ARE
CYP,ARG
CYP,ARM
CYP,BOL
CYP,BWA
CYP,CAF
CYP,CHL
CYP,DNK
CYP,ETH
CYP,JPN
CYP,KGZ
CYP,LSO
CYP,MEX
CYP,MLI
CYP,MMR
CYP,NER
CYP,NPL
CYP,PAN
CYP,SUR
CYP,THA
CYP,TJK
CYP,TZA
CYP,UGA
CYP,URY
CYP,YEM
CZE,BEN
CZE,BHR
CZE,COM
CZE,ETH
CZE,HND
CZE,JAM
CZE,JPN
CZE,KOR
CZE,MLI
CZE,MLT
CZE,MRT
CZE,MUS
CZE,NER
CZE,NIC
CZE,OMN
CZE,PAN
CZE,PER
CZE,PRY
CZE,SDN
CZE,SEN
CZE,SGP
CZE,SWZ
CZE,TJK
CZE,USA
CZE,ZWE
DEU,BWA
DEU,COG
DEU,GHA
DEU,NIC
DEU,SWZ
DEU,TTO
DEU,UZB
DEU,ZMB
DNK,CAF
DNK,COM
DNK,EGY
DNK,GAB
DNK,GIN
DNK,GTM
DNK,KWT
DNK,LSO
DNK,MNG
DNK,RWA
DNK,SDN
DNK,SWZ
DNK,ZMB
DNK,ZWE
DOM,AUS
DOM,BDI
DOM,BEN
DOM,BGD
DOM,COG
DOM,FIN
DOM,GIN
DOM,IDN
DOM,IRN
DOM,LTU
DOM,LUX
DOM,THA
DOM,TJK
DOM,UGA
DOM,UZB
DOM,VNM
DOM,ZWE
DZA,ALB
DZA,CAF
DZA,CHL
DZA,COM
DZA,ETH
DZA,HTI
DZA,IRL
DZA,KAZ
DZA,MLT
DZA,NPL
DZA,PAN
DZA,PRY
DZA,SUR
DZA,TTO
DZA,ZMB
ECU,ALB
ECU,BLR
ECU,COG
ECU,GAB
ECU,GIN
ECU,ISL
ECU,JOR
ECU,JPN
ECU,KAZ
ECU,LVA
ECU,MDG
ECU,MLI
ECU,NPL
ECU,OMN
ECU,SGP
ECU,SVK
ECU,SWZ
ECU,TCD
ECU,TKM
ECU,TZA
ECU,YEM
EGY,AGO
EGY,AUT
EGY,BDI
EGY,EST
EGY,GAB
EGY,HND
EGY,HTI
EGY,MDA
EGY,TGO
EGY,TJK
EGY,TKM
EGY,TTO
EGY,ZMB
ESP,ARG
ESP,CAF
ESP,CMR
ESP,COG
ESP,COL
ESP,GTM
ESP,KGZ
ESP,LUX
ESP,LVA
ESP,MDA
ESP,MRT
ESP,MUS
ESP,NER
ESP,SEN
ESP,SLE
ESP,TGO
EST,AGO
EST,BHR
EST,BOL
EST,CAF
EST,COG
EST,GRC
EST,ISR
EST,JAM
EST,JOR
EST,KAZ
EST,LUX
EST,MNG
EST,MRT
EST,NER
EST,QAT
EST,SAU
EST,SLE
EST,SVK
EST,SVN
EST,TJK
EST,URY
ETH,BEL
ETH,BIH
ETH,BOL
ETH,COM
ETH,GEO
ETH,HND
ETH,HRV
ETH,HTI
ETH,IRQ
ETH,JAM
ETH,JOR
ETH,KHM
ETH,LVA
ETH,MEX
ETH,MMR
ETH,MNG
ETH,MYS
ETH,NOR
ETH,PAK
ETH,PER
ETH,PHL
ETH,TJK
FIN,AGO
FIN,BDI
FIN,BEN
FIN,CAF
FIN,CMR
FIN,CRI
FIN,DOM
FIN,ESP
FIN,GIN
FIN,GTM
FIN,JOR
FIN,KAZ
FIN,MLI
FIN,MUS
FIN,NZL
