source,target,weight
NPL,LBR,97.061
NPL,AZE,46.502
NPL,JOR,25.551
NPL,AUT,2247.4100000000003
NPL,THA,2188.755
NPL,NZL,362.188
NPL,POL,187.049
NPL,ECU,5.972
NPL,NLD,4892.088999999998
NPL,DEU,40902.441
NPL,SDN,53.979000000000006
NPL,BDI,0.086
NPL,ESP,4287.259999999999
NPL,VNM,3314.2480000000005
NPL,HUN,548.621
NPL,GRC,270.106
NPL,HRV,175.85399999999998
NPL,BGD,26036.962000000003
NPL,NGA,0.048
NPL,UKR,393.091
NPL,KHM,4.462
NPL,SAU,102.922
NPL,ISR,432.382
NPL,BLR,1.849
NPL,TUN,1.042
NPL,BRA,1404.632
NPL,EST,25.794
NPL,LKA,208.135
NPL,JPN,9180.280000000002
NPL,OMN,15.321
NPL,DNK,2448.071
NPL,PHL,20.764000000000003
NPL,KEN,81.73200000000001
NPL,UGA,12.3
NPL,GTM,7.367
NPL,LVA,20.47
NPL,RUS,2113.065
NPL,CHN,10214.252
NPL,IRQ,9.83
NPL,GBR,19816.466000000008
NPL,UZB,0.115
NPL,ZWE,6.916
NPL,SVK,54.011
NPL,BIH,92.347
NPL,PRT,379.96
NPL,USA,70282.14499999999
NPL,IRL,215.851
NPL,BHR,407.679
NPL,COL,46.529
NPL,KAZ,419.083
NPL,GEO,107.707
NPL,KOR,1191.4370000000004
NPL,IDN,28.234
NPL,COG,0.895
NPL,SGP,3715.904
NPL,EGY,16.791
NPL,ETH,0.145
NPL,HTI,60.512
NPL,BGR,42.248
NPL,MUS,3.914
NPL,ITA,10628.670999999998
NPL,AUS,4639.463999999999
NPL,CHE,2993.202
NPL,CZE,661.5070000000002
NPL,AFG,116.615
NPL,MMR,19.51
NPL,IRN,43.316
NPL,MLT,9.534
NPL,GHA,21.838
NPL,LBN,688.4700000000001
NPL,CAN,11627.154
NPL,SWE,912.827
NPL,SLE,172.042
NPL,LBY,90.064
NPL,MAR,79.007
NPL,CRI,7.293
NPL,TJK,0.096
NPL,MYS,1375.75
NPL,MDG,242.029
NPL,MRT,0.706
NPL,PER,2.829
NPL,FRA,15631.543
NPL,CYP,31.578
NPL,GIN,21.38
NPL,MWI,6.17
NPL,ISL,105.378
NPL,ZAF,775.9420000000001
NPL,NIC,5.529
NPL,QAT,849.712
NPL,URY,0.167
NPL,CHL,218.386
NPL,BEL,3739.541
NPL,ARG,133.55399999999997
NPL,KWT,1074.046
NPL,TTO,7.347
NPL,TZA,45.316
NPL,IND,614378.5680000002
NPL,TCD,0.146
NPL,SVN,152.339
NPL,NOR,909.71
NPL,CAF,2.041
NPL,TUR,7492.920000000001
NPL,MNG,34.61300000000001
NPL,FIN,779.33
NPL,PRY,71.734
NPL,ARE,5953.646999999999
NPL,LUX,109.309
NPL,MEX,299.065
NPL,PAN,161.005
NPL,PAK,2640.995
NPL,LTU,14.010000000000002
AZE,JOR,57.832
AZE,AUT,3965.411
AZE,THA,135374.54200000002
AZE,NZL,55.129
AZE,POL,3110.471
AZE,ECU,0.502
AZE,NLD,6808.451
AZE,DEU,523363.901
AZE,ESP,283792.91900000005
AZE,VNM,13564.921
AZE,HUN,35.257
AZE,GRC,208123.842
AZE,HRV,347710.721
AZE,MDA,2542.708
AZE,NGA,28.800000000000004
AZE,UKR,909325.714
AZE,ALB,9.8
AZE,SAU,10559.904
AZE,ISR,817575.085
AZE,BLR,666770.685
AZE,MOZ,330.969
AZE,BRA,96.45
AZE,EST,663.762
AZE,JPN,439.752
AZE,OMN,4226.190999999999
AZE,DNK,1422.415
AZE,PHL,646.4169999999999
AZE,UGA,0.306
AZE,AGO,2.066
AZE,LVA,14013.191
AZE,RUS,1172643.855
AZE,IRQ,99096.01000000002
AZE,GBR,15871.712999999998
AZE,UZB,21881.67200000001
AZE,TKM,43921.582999999984
AZE,SVK,146.109
AZE,PRT,324860.02400000003
AZE,USA,2274527.672
AZE,IRL,42.42999999999999
